interaction_id,user_id,movie_id,rating,valoration_date
1,1,967738,3.5,2025-08-31 21:04:07
2,1,1222169,5.0,2025-09-19 21:04:07
3,1,253872,4.5,2025-07-06 21:04:07
4,1,1187028,4.0,2025-12-23 21:04:07
5,1,929182,4.5,2025-09-03 21:04:07
6,1,955084,4.5,2025-04-09 21:04:07
7,1,1168508,5.0,2025-06-21 21:04:07
8,1,1496380,4.5,2025-10-25 21:04:07
9,1,506530,4.0,2025-09-04 21:04:07
10,1,442124,3.0,2026-03-31 21:04:07
11,1,1254130,5.0,2025-11-08 21:04:07
12,1,1328292,5.0,2025-04-21 21:04:07
13,1,696820,2.0,2025-08-16 21:04:07
14,1,1174708,0.5,2025-04-16 21:04:07
15,1,1553117,3.0,2025-12-18 21:04:07
16,2,139608,1.5,2025-09-17 21:04:07
17,2,399700,1.5,2025-06-10 21:04:07
18,2,1200862,5.0,2025-07-01 21:04:07
19,2,449403,4.0,2025-04-27 21:04:07
20,2,470270,5.0,2025-08-23 21:04:07
21,2,1218373,1.5,2025-04-11 21:04:07
22,2,887744,3.0,2025-12-26 21:04:07
23,2,683074,5.0,2026-03-24 21:04:07
24,2,1454729,4.0,2026-01-25 21:04:07
25,2,1430121,1.5,2026-03-07 21:04:07
26,2,607791,4.0,2026-03-28 21:04:07
27,2,1223932,2.5,2025-11-07 21:04:07
28,2,413620,2.0,2026-03-14 21:04:07
29,2,764543,2.5,2025-12-02 21:04:07
30,2,99019,1.0,2026-04-02 21:04:07
31,2,405980,4.0,2025-05-12 21:04:07
32,2,438883,3.0,2025-08-02 21:04:07
33,3,605462,4.0,2025-12-10 21:04:07
34,3,355683,1.5,2025-07-25 21:04:07
35,3,1080459,5.0,2026-04-03 21:04:07
36,3,488700,1.5,2025-11-01 21:04:07
37,3,1147040,4.0,2026-02-07 21:04:07
38,3,1410518,4.0,2026-03-18 21:04:07
39,3,1341697,0.5,2026-02-11 21:04:07
40,3,1643944,4.5,2025-06-15 21:04:07
41,3,1169147,0.5,2025-11-06 21:04:07
42,3,1501779,4.5,2025-06-15 21:04:07
43,3,425392,3.5,2025-04-26 21:04:07
44,3,1538210,1.5,2025-08-31 21:04:07
45,3,580210,4.5,2025-05-06 21:04:07
46,4,1446496,2.0,2025-11-24 21:04:07
47,4,425610,0.5,2025-09-06 21:04:07
48,4,1470245,1.5,2025-07-18 21:04:07
49,4,60808,1.5,2025-06-03 21:04:07
50,4,323950,3.5,2025-09-16 21:04:07
51,4,1176187,4.5,2025-04-21 21:04:07
52,4,933541,4.0,2026-01-02 21:04:07
53,4,1555267,3.0,2025-04-22 21:04:07
54,4,343165,4.0,2025-04-26 21:04:07
55,4,412192,4.5,2025-11-30 21:04:07
56,4,420306,4.0,2025-09-29 21:04:07
57,4,894346,1.0,2026-03-19 21:04:07
58,4,1087154,3.0,2025-09-20 21:04:07
59,4,1518442,4.5,2025-04-25 21:04:07
60,4,921238,1.0,2025-12-11 21:04:07
61,4,1297469,4.0,2025-12-11 21:04:07
62,4,1575759,4.0,2025-07-09 21:04:07
63,4,1227587,2.0,2025-10-11 21:04:07
64,5,517281,4.0,2025-09-03 21:04:07
65,5,168088,3.0,2026-03-26 21:04:07
66,5,865042,4.5,2025-09-25 21:04:07
67,5,1603505,3.5,2025-09-23 21:04:07
68,5,1419432,4.5,2025-11-07 21:04:07
69,5,1296732,3.0,2025-11-02 21:04:07
70,5,1321931,4.0,2025-09-10 21:04:07
71,5,336018,3.0,2025-10-25 21:04:07
72,5,46424,1.0,2025-05-05 21:04:07
73,5,1011349,4.0,2025-12-26 21:04:07
74,5,39105,3.0,2026-01-13 21:04:07
75,5,1204091,2.0,2025-06-05 21:04:07
76,5,1641868,5.0,2025-09-27 21:04:07
77,5,1222492,4.5,2025-08-18 21:04:07
78,5,899539,3.5,2025-07-22 21:04:07
79,5,27865,2.0,2025-09-26 21:04:07
80,5,628011,1.5,2025-12-24 21:04:07
81,5,576421,5.0,2026-01-18 21:04:07
82,5,1624463,1.5,2025-10-09 21:04:07
83,5,815180,4.5,2026-01-25 21:04:07
84,5,358748,3.0,2025-11-18 21:04:07
85,5,1527415,3.0,2025-06-17 21:04:07
86,5,970753,3.0,2026-03-18 21:04:07
87,5,240234,2.0,2025-10-08 21:04:07
